,Organ,Cell Type,Time Point,Condition,Source,Cell Count,Original Labels
Bone Marrow Pre pro B cell WK6-10 (MC20),Bone Marrow,Pre pro B cell,WK6-10,,MC20,68,Pre-pro B cell(Bone-Marrow)
Skin Stromal cell P1 [Akr1c18 high] (MC20),Skin,Stromal cell,P1,Akr1c18 high,MC20,61,Stromal cell_Akr1c18 high(Neonatal-Skin)
Bone Marrow c kit Megakaryocyte progenitor cell WK6-10 (MC20),Bone Marrow c kit,Megakaryocyte progenitor cell,WK6-10,,MC20,431,Megakaryocyte progenitor cell(Bone-Marrow_c-kit)
Lung Eosinophil granulocyte WK6-10 (MC20),Lung,Eosinophil granulocyte,WK6-10,,MC20,265,Eosinophil granulocyte(Lung)
Lung Stromal cell WK6-10 [Inmt high] (MC20),Lung,Stromal cell,WK6-10,Inmt high,MC20,167,Stromal cell_Inmt high(Lung)
Testis Spermatids WK6-10 [Tnp1 high] (MC20),Testis,Spermatids,WK6-10,Tnp1 high,MC20,756,Spermatids_Tnp1 high(Testis)
Peripheral Blood Macrophage WK6-10 [Flt-ps1 high] (MC20),Peripheral Blood,Macrophage,WK6-10,Flt-ps1 high,MC20,32,Macrophage_Flt-ps1 high(Peripheral_Blood)
Placenta Granulocyte WK6-10 [S100a9 high] (MC20),Placenta,Granulocyte,WK6-10,S100a9 high,MC20,63,Granulocyte_S100a9 high(Placenta)
Mesenchyme Muscle E14.5 (MC20),Mesenchyme,Muscle,E14.5,,MC20,228,Muscle(Embryonic-Mesenchyme)
Ovary Large luteal cell WK6-10 (MC20),Ovary,Large luteal cell,WK6-10,,MC20,206,Large luteal cell(Ovary)
Bone Marrow Erythroblast WK6-10 (MC20),Bone Marrow,Erythroblast,WK6-10,,MC20,11,Erythroblast(Bone-Marrow)
Pancreas Macrophage WK6-10 [Ly6c2 high] (MC20),Pancreas,Macrophage,WK6-10,Ly6c2 high,MC20,13,Macrophage_Ly6c2 high(Pancreas)
Female  Gonad Epithelial cell E14.5 [S100a6 high] (MC20),Female  Gonad,Epithelial cell,E14.5,S100a6 high,MC20,0,Epithelial cell_S100a6 high(Female_Fetal_Gonad)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Snord118 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Snord118 high,MC20,114,Secretory alveoli cell_Snord118 high(Mammary-Gland-Lactation)
Thymus T cell WK6-10 [Id2 high] (MC20),Thymus,T cell,WK6-10,Id2 high,MC20,26,T cell_Id2 high(Thymus)
Intestine Neuronal cell E14.5 [Fabp7 high] (MC20),Intestine,Neuronal cell,E14.5,Fabp7 high,MC20,448,Neuronal cell_Fabp7 high(Fetal_Intestine)
Heart Smooth muscle cell P1 (MC20),Heart,Smooth muscle cell,P1,,MC20,178,Smooth muscle cell(Neonatal-Heart)
Calvaria Granulocyte monocyte progenitor cell P1 (MC20),Calvaria,Granulocyte monocyte progenitor cell,P1,,MC20,41,Granulocyte monocyte progenitor cell(Neonatal-Calvaria)
Lung T Cell WK6-10 [Cd8b1 high] (MC20),Lung,T Cell,WK6-10,Cd8b1 high,MC20,460,T Cell_Cd8b1 high(Lung)
Intestine Epithelial cell E14.5 [Bex1 high] (MC20),Intestine,Epithelial cell,E14.5,Bex1 high,MC20,190,Epithelial cell_Bex1 high(Fetal_Intestine)
Pancreas B cell P1 (MC20),Pancreas,B cell,P1,,MC20,400,B cell(NeonatalPancreas)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Tyrobp high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Tyrobp high,MC20,84,Secretory alveoli cell_Tyrobp high(Mammary-Gland-Lactation)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Lyz2 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Lyz2 high,MC20,136,Secretory alveoli cell_Lyz2 high(Mammary-Gland-Lactation)
Pancreas Neutrophil P1 [Ctsg high] (MC20),Pancreas,Neutrophil,P1,Ctsg high,MC20,252,Neutrophil_Ctsg high(NeonatalPancreas)
Mammary Gland Stromal cell WK6-10 [virgin Pi16 high] (MC20),Mammary Gland,Stromal cell,WK6-10,virgin Pi16 high,MC20,93,Stromal cell_Pi16 high(Mammary-Gland-Virgin)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Mrpl15 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Mrpl15 high,MC20,67,Secretory alveoli cell_Mrpl15 high(Mammary-Gland-Lactation)
Muscle B cell P1 (MC20),Muscle,B cell,P1,,MC20,99,B cell(Neonatal-Muscle)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Sh3bgrl3 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Sh3bgrl3 high,MC20,117,Secretory alveoli cell_Sh3bgrl3 high(Mammary-Gland-Lactation)
Kidney Macrophage E14.5 [Lyz2 high] (MC20),Kidney,Macrophage,E14.5,Lyz2 high,MC20,0,Macrophage_Lyz2 high(Fetal_Kidney)
Placenta Decidual stromal cell WK6-10 (MC20),Placenta,Decidual stromal cell,WK6-10,,MC20,103,Decidual stromal cell(Placenta)
Brain Astrocyte WK6-10 [Atp1b2 high] (MC20),Brain,Astrocyte,WK6-10,Atp1b2 high,MC20,77,Astrocyte_Atp1b2 high(Brain)
Kidney Cell in cell cycle E14.5 (MC20),Kidney,Cell in cell cycle,E14.5,,MC20,1,Cell in cell cycle(Fetal_Kidney)
Pancreas Dividing cell WK6-10 (MC20),Pancreas,Dividing cell,WK6-10,,MC20,12,Dividing cell(Pancreas)
Mammary Gland Dendritic cell WK6-10 [pregnancy Cd209a high] (MC20),Mammary Gland,Dendritic cell,WK6-10,pregnancy Cd209a high,MC20,61,Dendritic cell_Cd209a high(Mammary-Gland-Pregrancy)
Uterus Granulocyte WK6-10 (MC20),Uterus,Granulocyte,WK6-10,,MC20,76,Granulocyte(Uterus)
Mammary Gland B cell WK6-10 [virgin Cd79a&Fcer2a high] (MC20),Mammary Gland,B cell,WK6-10,virgin Cd79a&Fcer2a high,MC20,248,B cell_Cd79a&Fcer2a high(Mammary-Gland-Virgin)
Testis Spermatids WK6-10 [1700016P04Rik high] (MC20),Testis,Spermatids,WK6-10,1700016P04Rik high,MC20,655,Spermatids_1700016P04Rik high(Testis)
Bone Marrow c kit Macrophage WK6-10 [C1qc high] (MC20),Bone Marrow c kit,Macrophage,WK6-10,C1qc high,MC20,210,Macrophage_C1qc high(Bone-Marrow_c-kit)
Pancreas Mast cell P1 (MC20),Pancreas,Mast cell,P1,,MC20,41,Mast cell(NeonatalPancreas)
Peripheral Blood Macrophage WK6-10 [Ace high] (MC20),Peripheral Blood,Macrophage,WK6-10,Ace high,MC20,297,Macrophage_Ace high(Peripheral_Blood)
Mesenchyme Stromal Cell Cldn11 high E14.5 [Stromal Cell Cldn11 high] (MC20),Mesenchyme,Stromal Cell Cldn11 high,E14.5,Stromal Cell Cldn11 high,MC20,28,Stromal Cell Cldn11 high(Embryonic-Mesenchyme)
Muscle Neutrophil WK6-10 [Camp high] (MC20),Muscle,Neutrophil,WK6-10,Camp high,MC20,171,Neutrophil_Camp high(Muscle)
Uterus Muscle cell WK6-10 [Pcp4 high] (MC20),Uterus,Muscle cell,WK6-10,Pcp4 high,MC20,34,Muscle cell_Pcp4 high(Uterus)
Stomach Erythroblast E14.5 [Snca high] (MC20),Stomach,Erythroblast,E14.5,Snca high,MC20,350,Erythroblast_Snca high(Fetal_Stomache)
Small Intestine B cell WK6-10 [Igkv12-46 high] (MC20),Small Intestine,B cell,WK6-10,Igkv12-46 high,MC20,94,B cell_Igkv12-46 high(Small-Intestine)
Prostate Glandular epithelium WK6-10 (MC20),Prostate,Glandular epithelium,WK6-10,,MC20,112,Glandular epithelium(Prostate)
Liver Dendritic cell WK6-10 [Cst3 high] (MC20),Liver,Dendritic cell,WK6-10,Cst3 high,MC20,422,Dendritic cell_Cst3 high(Liver)
Mammary Gland B cell WK6-10 [lactation Igkv6-15 high] (MC20),Mammary Gland,B cell,WK6-10,lactation Igkv6-15 high,MC20,207,B cell_Igkv6-15 high(Mammary-Gland-Lactation)
Brain Astrocytes P1 (MC20),Brain,Astrocytes,P1,,MC20,0,Astrocytes(Neonatal_Brain)
Mammary Gland Endothelial cell WK6-10 [involution Aqp1 high] (MC20),Mammary Gland,Endothelial cell,WK6-10,involution Aqp1 high,MC20,55,Endothelial cell_Aqp1 high(Mammary-Gland-Involution)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Thy1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Thy1 high,MC20,58,Secretory alveoli cell_Thy1 high(Mammary-Gland-Lactation)
Female  Gonad Erythroblast E14.5 (MC20),Female  Gonad,Erythroblast,E14.5,,MC20,0,Erythroblast(Female_Fetal_Gonad)
Mesenchyme Stromal Cell E14.5 [Agtr2 high] (MC20),Mesenchyme,Stromal Cell,E14.5,Agtr2 high,MC20,191,Stromal Cell_Agtr2 high(Embryonic-Mesenchyme)
Mesenchyme Stromal Cell E14.5 [Cnmd high] (MC20),Mesenchyme,Stromal Cell,E14.5,Cnmd high,MC20,112,Stromal Cell_Cnmd high(Embryonic-Mesenchyme)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Mat2a high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Mat2a high,MC20,91,Secretory alveoli cell_Mat2a high(Mammary-Gland-Lactation)
Lung Basophil WK6-10 (MC20),Lung,Basophil,WK6-10,,MC20,14,Basophil(Lung)
Bone Marrow Hematopoietic stem progenitor cell WK6-10 (MC20),Bone Marrow,Hematopoietic stem progenitor cell,WK6-10,,MC20,16,Hematopoietic stem progenitor cell(Bone-Marrow)
Heart Atrial cardiomyocyte P1 (MC20),Heart,Atrial cardiomyocyte,P1,,MC20,140,Atrial cardiomyocyte(Neonatal-Heart)
Bone Marrow Mesenchyme Erythroblast WK6-10 (MC20),Bone Marrow Mesenchyme,Erythroblast,WK6-10,,MC20,657,Erythroblast(Bone_Marrow_Mesenchyme)
Female  Gonad Macrophage E14.5 [Apoe high] (MC20),Female  Gonad,Macrophage,E14.5,Apoe high,MC20,0,Macrophage_Apoe high(Female_Fetal_Gonad)
Mammary Gland Stromal cell WK6-10 [pregnancy] (MC20),Mammary Gland,Stromal cell,WK6-10,pregnancy,MC20,196,Stromal cell(Mammary-Gland-Pregrancy)
Pancreas Glial cell WK6-10 (MC20),Pancreas,Glial cell,WK6-10,,MC20,11,Glial cell(Pancreas)
Skin Epithelial cell P1 (MC20),Skin,Epithelial cell,P1,,MC20,71,Epithelial cell(Neonatal-Skin)
Peripheral Blood B cell WK6-10 [Rps27rt high] (MC20),Peripheral Blood,B cell,WK6-10,Rps27rt high,MC20,77,B cell_Rps27rt high(Peripheral_Blood)
Intestine Stromal cell E14.5 [Adamdec1 high] (MC20),Intestine,Stromal cell,E14.5,Adamdec1 high,MC20,1317,Stromal cell_Adamdec1 high(Fetal_Intestine)
Lung Stromal cell E14.5 [Ptn high] (MC20),Lung,Stromal cell,E14.5,Ptn high,MC20,1267,Stromal cell_Ptn high(Fetal_Lung)
Placenta Spongiotrophoblast WK6-10 [Phlda2 high] (MC20),Placenta,Spongiotrophoblast,WK6-10,Phlda2 high,MC20,180,Spongiotrophoblast_Phlda2 high(Placenta)
Placenta Monocyte WK6-10 (MC20),Placenta,Monocyte,WK6-10,,MC20,302,Monocyte(Placenta)
Brain Radial glia P1 (MC20),Brain,Radial glia,P1,,MC20,0,Radial glia(Neonatal_Brain)
Spleen Marginal zone B cell WK6-10 (MC20),Spleen,Marginal zone B cell,WK6-10,,MC20,1026,Marginal zone B cell(Spleen)
Bone Marrow Mesenchyme Granulocyte monocyte progenitors WK6-10 (MC20),Bone Marrow Mesenchyme,Granulocyte monocyte progenitors,WK6-10,,MC20,42,Granulocyte monocyte progenitors(Bone_Marrow_Mesenchyme)
Male  Gonad Basophils E14.5 (MC20),Male  Gonad,Basophils,E14.5,,MC20,21,Basophils(Male_Fetal_Gonad)
Brain Immature neurons P1 (MC20),Brain,Immature neurons,P1,,MC20,0,Immature neurons(Neonatal_Brain)
Mammary Gland Macrophage WK6-10 [virgin Lyz1 high] (MC20),Mammary Gland,Macrophage,WK6-10,virgin Lyz1 high,MC20,199,Macrophage_Lyz1 high(Mammary-Gland-Virgin)
Kidney Stromal cell WK6-10 [Ankrd1 high] (MC20),Kidney,Stromal cell,WK6-10,Ankrd1 high,MC20,23,Stromal cell_Ankrd1 high(Kidney)
Mesenchyme Progenitor cell E14.5 [Ptprcap high] (MC20),Mesenchyme,Progenitor cell,E14.5,Ptprcap high,MC20,10,Progenitor cell_Ptprcap high(Embryonic-Mesenchyme)
Mammary Gland Muscle  cell WK6-10 [lactation] (MC20),Mammary Gland,Muscle  cell,WK6-10,lactation,MC20,276,Muscle  cell(Mammary-Gland-Lactation)
Lung Erythroblast E14.5 [Hbb-bs high] (MC20),Lung,Erythroblast,E14.5,Hbb-bs high,MC20,293,Erythroblast_Hbb-bs high(Fetal_Lung)
Mammary Gland NK cell WK6-10 [virgin] (MC20),Mammary Gland,NK cell,WK6-10,virgin,MC20,104,NK cell(Mammary-Gland-Virgin)
Brain Microglia WK6-10 (MC20),Brain,Microglia,WK6-10,,MC20,338,Microglia(Brain)
Brain Astrocyte WK6-10 [Pla2g7 high] (MC20),Brain,Astrocyte,WK6-10,Pla2g7 high,MC20,18,Astrocyte_Pla2g7 high(Brain)
Pancreas Acinar cell P1 (MC20),Pancreas,Acinar cell,P1,,MC20,640,Acinar cell(NeonatalPancreas)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Hes1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Hes1 high,MC20,174,Secretory alveoli cell_Hes1 high(Mammary-Gland-Lactation)
Rib Neuron P1 [Stmn2 high] (MC20),Rib,Neuron,P1,Stmn2 high,MC20,73,Neuron_Stmn2 high(Neonatal-Rib)
Brain Erythrocyte E14.5 [Hbb-bt high] (MC20),Brain,Erythrocyte,E14.5,Hbb-bt high,MC20,95,Erythrocyte_Hbb-bt high(Fetal_Brain)
Mesenchyme Reproductive tissues E14.5 (MC20),Mesenchyme,Reproductive tissues,E14.5,,MC20,17,Reproductive tissues(Embryonic-Mesenchyme)
Muscle Brown adipose tissue P1 (MC20),Muscle,Brown adipose tissue,P1,,MC20,102,Brown adipose tissue(Neonatal-Muscle)
Mesenchyme Erythroblast E14.5 [Mt2 high] (MC20),Mesenchyme,Erythroblast,E14.5,Mt2 high,MC20,19,Erythroblast_Mt2 high(Embryonic-Mesenchyme)
Intestine T cell E14.5 (MC20),Intestine,T cell,E14.5,,MC20,80,T cell(Fetal_Intestine)
Mammary Gland NK cell WK6-10 [involution Gzma high] (MC20),Mammary Gland,NK cell,WK6-10,involution Gzma high,MC20,55,NK cell_Gzma high(Mammary-Gland-Involution)
Pancreas Dendrtic cell WK6-10 (MC20),Pancreas,Dendrtic cell,WK6-10,,MC20,34,Dendrtic cell(Pancreas)
Mesenchyme Ganglion cell E14.5 [Cartpt high] (MC20),Mesenchyme,Ganglion cell,E14.5,Cartpt high,MC20,35,Ganglion cell_Cartpt high(Embryonic-Mesenchyme)
Placenta PE lineage cell WK6-10 [Gkn2 high] (MC20),Placenta,PE lineage cell,WK6-10,Gkn2 high,MC20,251,PE lineage cell_Gkn2 high(Placenta)
Small Intestine B cell WK6-10 [Ms4a1 high] (MC20),Small Intestine,B cell,WK6-10,Ms4a1 high,MC20,197,B cell_Ms4a1 high(Small-Intestine)
Male  Gonad Neutrophil E14.5 (MC20),Male  Gonad,Neutrophil,E14.5,,MC20,7,Neutrophil(Male_Fetal_Gonad)
Testis Elongating spermatid WK6-10 (MC20),Testis,Elongating spermatid,WK6-10,,MC20,4326,Elongating spermatid(Testis)
Mammary Gland Macrophage WK6-10 [virgin C1qc high] (MC20),Mammary Gland,Macrophage,WK6-10,virgin C1qc high,MC20,106,Macrophage_C1qc high(Mammary-Gland-Virgin)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Rhob high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Rhob high,MC20,66,Secretory alveoli cell_Rhob high(Mammary-Gland-Lactation)
Intestine Endothelial cell E14.5 (MC20),Intestine,Endothelial cell,E14.5,,MC20,28,Endothelial cell(Fetal_Intestine)
Heart Stromal cell P1 [Col3a1 high] (MC20),Heart,Stromal cell,P1,Col3a1 high,MC20,912,Stromal cell_Col3a1 high(Neonatal-Heart)
Lung Epithelial cell E14.5 [Sftpc high] (MC20),Lung,Epithelial cell,E14.5,Sftpc high,MC20,825,Epithelial cell_Sftpc high(Fetal_Lung)
Mammary Gland Muscel cell WK6-10 [lactation] (MC20),Mammary Gland,Muscel cell,WK6-10,lactation,MC20,79,Muscel cell(Mammary-Gland-Lactation)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Igkv1-110&P4hb high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Igkv1-110&P4hb high,MC20,175,Secretory alveoli cell_Igkv1-110&P4hb high(Mammary-Gland-Lactation)
Peripheral Blood Macrophage WK6-10 [S100a4 high] (MC20),Peripheral Blood,Macrophage,WK6-10,S100a4 high,MC20,810,Macrophage_S100a4 high(Peripheral_Blood)
Female  Gonad Erythroblast E14.5 [Klf1 high] (MC20),Female  Gonad,Erythroblast,E14.5,Klf1 high,MC20,0,Erythroblast_Klf1 high(Female_Fetal_Gonad)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Yif1b1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Yif1b1 high,MC20,130,Secretory alveoli cell_Yif1b1 high(Mammary-Gland-Lactation)
Pancreas Urothelium P1 (MC20),Pancreas,Urothelium,P1,,MC20,21,Urothelium(NeonatalPancreas)
Bladder Urothelium WK6-10 (MC20),Bladder,Urothelium,WK6-10,,MC20,316,Urothelium(Bladder)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Clpx high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Clpx high,MC20,95,Secretory alveoli cell_Clpx high(Mammary-Gland-Lactation)
Bone Marrow Neutrophil progenitor WK6-10 (MC20),Bone Marrow,Neutrophil progenitor,WK6-10,,MC20,101,Neutrophil progenitor(Bone-Marrow)
Skin Macrophage P1 [Pf4 high] (MC20),Skin,Macrophage,P1,Pf4 high,MC20,27,Macrophage_Pf4 high(Neonatal-Skin)
Testis Spermatogonia WK6-10 [Tbc1d23 high] (MC20),Testis,Spermatogonia,WK6-10,Tbc1d23 high,MC20,180,Spermatogonia_Tbc1d23 high(Testis)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Igsf8 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Igsf8 high,MC20,80,Secretory alveoli cell_Igsf8 high(Mammary-Gland-Lactation)
Liver B cell WK6-10 [Jchain high] (MC20),Liver,B cell,WK6-10,Jchain high,MC20,43,B cell_Jchain high(Liver)
Mammary Gland Endothelial cell WK6-10 [involution Fabp4&Aqp1 high] (MC20),Mammary Gland,Endothelial cell,WK6-10,involution Fabp4&Aqp1 high,MC20,16,Endothelial cell_Fabp4&Aqp1 high(Mammary-Gland-Involution)
Ovary Cumulus cell WK6-10 [Nupr1 high] (MC20),Ovary,Cumulus cell,WK6-10,Nupr1 high,MC20,274,Cumulus cell_Nupr1 high(Ovary)
Placenta Invasive spongiotrophoblast WK6-10 (MC20),Placenta,Invasive spongiotrophoblast,WK6-10,,MC20,671,Invasive spongiotrophoblast(Placenta)
Heart Dividing cell P1 (MC20),Heart,Dividing cell,P1,,MC20,71,Dividing cell(Neonatal-Heart)
Rib Cartilage cell P1 [Col2a1 high] (MC20),Rib,Cartilage cell,P1,Col2a1 high,MC20,568,Cartilage cell_Col2a1 high(Neonatal-Rib)
Brain Oligodendrocyte precursor cell WK6-10 (MC20),Brain,Oligodendrocyte precursor cell,WK6-10,,MC20,72,Oligodendrocyte precursor cell(Brain)
Bone Marrow c kit Macrophage WK6-10 [Cd74 high] (MC20),Bone Marrow c kit,Macrophage,WK6-10,Cd74 high,MC20,199,Macrophage_Cd74 high(Bone-Marrow_c-kit)
Mammary Gland T cells WK6-10 [virgin Ctla4 high] (MC20),Mammary Gland,T cells,WK6-10,virgin Ctla4 high,MC20,157,T-cells_Ctla4 high(Mammary-Gland-Virgin)
Mammary Gland Luminal progenitor WK6-10 [virgin] (MC20),Mammary Gland,Luminal progenitor,WK6-10,virgin,MC20,56,Luminal progenitor(Mammary-Gland-Virgin)
Pancreas Lymphatic vessel endothelial cell P1 (MC20),Pancreas,Lymphatic vessel endothelial cell,P1,,MC20,176,Lymphatic vessel endothelial cell(NeonatalPancreas)
Brain Schwann cell WK6-10 (MC20),Brain,Schwann cell,WK6-10,,MC20,16,Schwann cell(Brain)
Bone Marrow Neutrophil WK6-10 [Cebpe high] (MC20),Bone Marrow,Neutrophil,WK6-10,Cebpe high,MC20,18,Neutrophil_Cebpe high(Bone-Marrow)
Skin Lymphatic vessel endothelial cell P1 (MC20),Skin,Lymphatic vessel endothelial cell,P1,,MC20,14,Lymphatic vessel endothelial cell(Neonatal-Skin)
Lung Erythroblast E14.5 [Mt2&Mt1 high] (MC20),Lung,Erythroblast,E14.5,Mt2&Mt1 high,MC20,149,Erythroblast_Mt2&Mt1 high(Fetal_Lung)
Uterus Stromal cell WK6-10 [Gm23935 high] (MC20),Uterus,Stromal cell,WK6-10,Gm23935 high,MC20,90,Stromal cell_Gm23935 high(Uterus)
Bone Marrow Macrophage WK6-10 [Ms4a6c high] (MC20),Bone Marrow,Macrophage,WK6-10,Ms4a6c high,MC20,26,Macrophage_Ms4a6c high(Bone-Marrow)
Pancreas Erythroblast WK6-10 [Igkc high] (MC20),Pancreas,Erythroblast,WK6-10,Igkc high,MC20,768,Erythroblast_Igkc high(Pancreas)
Muscle Adipocyte P1 (MC20),Muscle,Adipocyte,P1,,MC20,64,Adipocyte (Neonatal-Muscle)
liver Erythroblast E14.5 [Klf1 high] (MC20),liver,Erythroblast,E14.5,Klf1 high,MC20,1763,Erythroblast_Klf1 high(Fetal-liver)
Prostate T cell WK6-10 (MC20),Prostate,T cell,WK6-10,,MC20,33,T cell(Prostate)
Bone Marrow c kit Erythrocyte progenitor WK6-10 [Car1 high] (MC20),Bone Marrow c kit,Erythrocyte progenitor,WK6-10,Car1 high,MC20,809,Erythrocyte progenitor_Car1 high(Bone-Marrow_c-kit)
Kidney Stromal cell E14.5 [Mgp high] (MC20),Kidney,Stromal cell,E14.5,Mgp high,MC20,3,Stromal cell_Mgp high(Fetal_Kidney)
Mammary Gland Endothelial cell WK6-10 [involution Glycam1 high] (MC20),Mammary Gland,Endothelial cell,WK6-10,involution Glycam1 high,MC20,45,Endothelial cell_Glycam1 high(Mammary-Gland-Involution)
Testis Erythroblast WK6-10 [Hbb-bs high] (MC20),Testis,Erythroblast,WK6-10,Hbb-bs high,MC20,119,Erythroblast_Hbb-bs high(Testis)
Kidney Distal convoluted tubule epithelial cell E14.5 (MC20),Kidney,Distal convoluted tubule epithelial cell,E14.5,,MC20,0,Distal convoluted tubule epithelial cell(Fetal_Kidney)
Testis Spermatocyte WK6-10 [Mesp1 high] (MC20),Testis,Spermatocyte,WK6-10,Mesp1 high,MC20,782,Spermatocyte_Mesp1 high(Testis)
Lung Dividing T cells WK6-10 (MC20),Lung,Dividing T cells,WK6-10,,MC20,53,Dividing T cells(Lung)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Rac2 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Rac2 high,MC20,74,Secretory alveoli cell_Rac2 high(Mammary-Gland-Lactation)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cd83 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cd83 high,MC20,44,Secretory alveoli cell_Cd83_high(Mammary-Gland-Lactation)
